,balcony,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,bedrooms_count,year_built,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
2777,1.0,6,52.0,8.0,2.0,38.0,t,,2022.0,24,ЮЗАО,р-н Черемушки,Новые Черёмушки,transport,4,13150000
2512,,4,75.1,15.0,2.0,,t,,2023.0,6,ЦАО,р-н Хамовники,Парк Культуры,walk,10,99000000
7790,,9,23.74,3.0,,12.7,f,,,14,НАО (Новомосковский),м. Щербинка,Щербинка,transport,9,6582353
3447,,3,68.0,,3.0,50.0,,,2022.0,28,ЦАО,р-н Красносельский,Площадь трёх вокзалов,walk,4,66500000
2845,0.0,2,46.0,,2.0,,f,,2021.0,9,НАО (Новомосковский),м. Ольховая,Ольховая,walk,10,14500000
2958,0.0,16,48.5,9.0,2.0,29.0,f,,2021.0,17,СЗАО,р-н Хорошево-Мневники,Народное Ополчение,walk,14,16990000
508,,9,39.0,8.0,1.0,20.0,f,,,14,САО,р-н Коптево,Коптево,walk,9,10700000
7518,,27,25.4,,,17.7,f,,,28,ЮАО,р-н Даниловский,Серпуховская,walk,19,19805591
3106,,8,57.0,10.5,2.0,,,,2020.0,25,СВАО,р-н Лосиноостровский,Медведково,transport,4,23500000
7181,,9,427.0,80.0,6.0,342.0,,,2021.0,9,ЗАО,р-н Раменки,Ломоносовский проспект,walk,19,854700000
7917,,20,20.0,5.0,,9.8,f,,,33,СВАО,р-н Алтуфьевский,Бескудниково,walk,19,7849496
7085,2.0,8,306.5,,6.0,201.0,,,2011.0,10,ЦАО,р-н Басманный,Курская,walk,12,413207549
457,,13,50.9,16.6,2.0,29.3,f,,,17,НАО (Новомосковский),м. Корниловская,Корниловская,transport,8,12595205
1514,1.0,7,34.5,10.0,1.0,20.0,f,,1968.0,12,СЗАО,р-н Щукино,Октябрьское поле,walk,4,12500000
4509,1.0,11,85.8,15.0,4.0,,f,,2019.0,11,САО,р-н Беговой,Динамо,walk,6,61950000
6562,,13,462.0,,6.0,,f,,,20,ЦАО,р-н Якиманка,Октябрьская,walk,8,1561006299
6982,,8,348.5,,6.0,,,,2020.0,11,ЗАО,р-н Дорогомилово,Киевская,walk,15,280000000
3527,,4,136.0,,3.0,,f,,2010.0,24,ЗАО,р-н Раменки,Университет,walk,6,98000000
2046,,13,32.59,9.9,1.0,11.4,f,,,13,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,13,7780323
543,0.0,3,33.1,11.6,1.0,12.6,f,,2023.0,25,ВАО,р-н Метрогородок,Бульвар Рокоссовского,walk,12,11000000
5728,,3,189.0,,5.0,126.0,f,,1912.0,5,ЦАО,р-н Тверской,Тверская,walk,5,89000000
3614,,4,170.0,15.0,3.0,,f,,2006.0,6,ЦАО,р-н Хамовники,Кропоткинская,walk,9,250000000
1391,1.0,3,31.5,7.0,1.0,13.0,,,,9,ЗАО,р-н Очаково-Матвеевское,Матвеевская,walk,9,12300000
5943,0.0,2,238.3,,5.0,203.7,f,,2019.0,6,ЗАО,р-н Раменки,Минская,walk,13,262130000
2907,,6,35.3,6.0,2.0,20.2,f,,,29,ВАО,р-н Богородское,Бульвар Рокоссовского,walk,4,15961450
1310,,3,77.94,33.3,1.0,19.7,f,,,7,ЗАО,м. Павшино,Павшино,transport,24,55376370
4988,,37,227.5,,5.0,,f,,,41,САО,р-н Хорошевский,Аэропорт,walk,12,236227774
6522,,2,245.4,20.0,6.0,,f,,2002.0,4,ЗАО,р-н Крылатское,Молодёжная,transport,6,230000000
4679,,18,129.07,32.8,4.0,62.2,t,,,26,ЦАО,р-н Пресненский,Белорусская,walk,11,114911021
7005,1.0,6,300.0,,6.0,240.0,f,,,10,ЦАО,р-н Тверской,Новослободская,walk,8,320000000
2177,1.0,10,38.8,4.0,2.0,28.0,f,,2023.0,16,НАО (Новомосковский),м. Прокшино,Прокшино,walk,10,14400000
3594,,7,93.0,,3.0,,f,,2021.0,20,ЦАО,р-н Пресненский,Деловой центр,walk,11,99000000
