,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
2602,9,36.4,9.8,1.0,16.8,,16,ЮЗАО,р-н Южное Бутово,Бунинская аллея,walk,15,10500000
2603,6,132.3,,4.0,,f,8,ЦАО,р-н Тверской,Маяковская,walk,4,76900000
2604,5,24.6,4.8,,10.9,f,14,НАО (Новомосковский),м. Коммунарка,Коммунарка,transport,10,8758891
2605,2,481.0,,6.0,,f,4,ЗАО,р-н Раменки,Минская,walk,12,1000000000
2606,6,40.0,9.0,1.0,19.0,,14,ЦАО,р-н Тверской,Достоевская,walk,5,21500000
2607,5,380.0,20.0,6.0,230.0,,6,ЗАО,р-н Раменки,Минская,walk,13,404900000
2608,23,19.14,3.0,,11.1,t,25,ВАО,р-н Соколиная гора,Измайлово,walk,6,7300000
2609,4,251.0,,5.0,,f,4,ЦАО,р-н Якиманка,Боровицкая,walk,13,650000000
2610,11,270.0,19.0,4.0,110.0,,13,ЦАО,р-н Хамовники,Киевская,walk,14,400000000
2611,2,31.8,4.3,,17.0,t,6,ЦАО,р-н Хамовники,Парк Культуры,walk,10,31150000
2612,1,35.4,9.9,1.0,,,12,СВАО,р-н Северное Медведково,Медведково,walk,14,10700000
2613,4,32.4,5.5,1.0,15.0,,9,ЮВАО,р-н Лефортово,Лефортово,walk,7,11300000
2614,5,43.0,6.0,2.0,30.0,f,9,ВАО,р-н Перово,Перово,walk,17,13000000
2615,4,201.6,,4.0,,,11,ЦАО,р-н Хамовники,Фрунзенская,walk,16,300000000
2616,3,45.5,6.3,1.0,19.1,f,40,САО,р-н Хорошевский,ЦСКА,walk,11,34500000
2617,43,231.0,,5.0,,f,44,САО,р-н Хорошевский,Беговая,walk,3,89000000
2618,17,308.5,31.0,6.0,218.0,f,20,ЮЗАО,р-н Черемушки,Профсоюзная,walk,5,140000000
2619,6,52.2,,2.0,,f,12,СВАО,р-н Алтуфьевский,Бибирево,walk,14,14500000
2620,12,20.1,5.1,,9.9,f,33,ЮВАО,р-н Люблино,Братиславская,transport,4,7447813
2621,10,23.8,7.4,,9.1,f,16,НАО (Новомосковский),м. Коммунарка,Коммунарка,transport,9,8543762
2622,25,37.5,16.2,1.0,12.4,f,26,САО,р-н Хорошевский,Зорге,walk,5,20763062
2623,6,25.8,2.3,,18.5,t,28,СЗАО,р-н Хорошево-Мневники,Полежаевская,walk,20,11708040
2624,18,41.1,11.3,1.0,16.2,,25,СЗАО,р-н Хорошево-Мневники,Шелепиха,transport,5,21390000
2625,3,112.4,27.1,3.0,48.7,f,5,ЦАО,р-н Тверской,Площадь Революции,walk,3,258140000
2626,18,45.2,7.8,1.0,26.8,f,27,ЦАО,р-н Басманный,Бауманская,walk,13,20837200
2627,3,115.0,5.0,3.0,60.0,f,57,САО,р-н Хорошевский,Аэропорт,walk,10,67970000
2628,3,57.0,18.3,2.0,33.7,,16,НАО (Новомосковский),м. Прокшино,Прокшино,walk,14,17990000
2629,14,220.0,28.0,4.0,114.0,f,15,ЗАО,р-н Дорогомилово,Студенческая,walk,10,358113209
2630,9,38.0,17.7,1.0,14.0,f,30,ЮВАО,р-н Южнопортовый,Волгоградский проспект,walk,5,14000000
2631,8,38.0,8.0,1.0,19.0,f,17,ЮЗАО,р-н Северное Бутово,Бульвар Дмитрия Донского,walk,9,10000000
2632,2,44.8,17.0,1.0,12.3,f,25,САО,р-н Аэропорт,Красный Балтиец,walk,4,19005728
2633,18,51.0,11.0,1.0,26.0,f,32,САО,р-н Хорошевский,Беговая,walk,3,26000000
2634,7,226.2,,5.0,,f,10,ЗАО,р-н Крылатское,Молодёжная,walk,14,92000000
2635,5,210.0,18.0,4.0,125.0,,6,ЦАО,р-н Хамовники,Парк Культуры,walk,6,375995180
2636,4,168.8,8.8,6.0,132.0,f,9,НАО (Новомосковский),м. Коммунарка,Коммунарка,transport,6,34700000
2637,12,35.8,16.8,1.0,10.6,f,31,ВАО,р-н Метрогородок,Бульвар Рокоссовского,transport,7,13400000
2638,4,24.7,6.1,,11.3,f,8,НАО (Новомосковский),м. Улица Горчакова,Улица Горчакова,transport,8,6572026
2639,14,54.7,18.9,2.0,21.0,,15,НАО (Новомосковский),м. Потапово,Потапово,walk,14,15600000
2640,3,524.0,32.0,5.0,120.0,f,20,СВАО,р-н Марьина роща,Достоевская,walk,8,199000000
2641,11,104.55,15.0,3.0,,,21,ЦАО,р-н Пресненский,Улица 1905 года,walk,7,101000000
2642,20,38.9,,1.0,,f,26,ЮАО,р-н Чертаново Южное,Лесопарковая,walk,7,13187100
2643,6,95.0,20.0,2.0,50.0,,7,ЦАО,р-н Хамовники,Парк Культуры,walk,10,130000000
