,price
1369,24934142
1370,10453302
1371,31990000
1372,116000000
1373,34149478
1374,11500000
1375,20300000
1376,6475567
1377,23750000
1378,15241600
1379,99000000
1380,119000000
1381,16608557
1382,24500000
1383,250000000
1384,80000000
1385,13100000
1386,9197760
1387,8969478
1388,28798635
1389,7422800
1390,26906628
1391,17200000
1392,25739827
1393,40000000
1394,33100000
1395,214000000
1396,9221092
1397,51800000
1398,23954676
1399,47500000
1400,62398204
1401,20789040
1402,70480640
1403,16300000
1404,8749863
1405,13500000
1406,20495970
1407,9760299
1408,141285090
1409,10290000
1410,190000000
1411,120569530
1412,18800000
1413,23132200
1414,11590000
1415,11371140
1416,230000000
1417,40923350
1418,7946543
1419,7655667
1420,28520054
1421,18467803
1422,9445763
1423,9380000
1424,5876640
1425,22388200
1426,108000000
1427,13500000
1428,9990000
1429,57558600
1430,13400000
1431,34700000
1432,30900000
1433,65924706
1434,22262123
1435,23954676
1436,156750000
1437,40541139
1438,12640000
1439,11700000
1440,50100000
1441,22300000
1442,9278276
1443,19500000
1444,42000000
1445,7996899
1446,16300000
1447,15532979
1448,6950000
1449,26500000
1450,20633007
1451,80000000
1452,79990000
1453,22845714
1454,20818680
1455,20577230
1456,68500000
1457,13133050
1458,45500000
1459,7900000
1460,6738862
1461,85000000
1462,27342448
1463,45000000
1464,147740318
1465,93357000
1466,28000000
1467,26659227
1468,8892000
1469,85000000
1470,8747370
1471,42000000
1472,119922417
1473,126110000
1474,89987421
1475,4435500
1476,25400000
1477,12000000
1478,15900000
1479,6759869
1480,10674920
1481,7106326
1482,7934524
1483,18697300
1484,45900000
1485,28306573
1486,7246943
1487,20000000
1488,62000000
1489,86000000
1490,27155520
1491,11000000
1492,10560107
1493,10025380
1494,48265552
1495,243000000
1496,11800000
1497,7590237
1498,19200000
1499,7082534
1500,10700000
1501,59900000
1502,13500000
1503,39900000
1504,14406557
1505,13746719
1506,7624876
1507,92000000
1508,10341310
1509,11100000
1510,12300000
1511,7584663
1512,133844257
1513,162520646
1514,164000000
1515,33851500
1516,98000000
1517,20490000
1518,20000000
1519,12500000
1520,11900000
1521,188111735
1522,16400000
1523,47592976
1524,7866976
1525,7900000
1526,40737000
1527,19500000
1528,40940000
1529,39000000
1530,14800000
1531,220000000
1532,16300000
1533,8353228
1534,60000000
1535,35500000
1536,40033063
1537,244900000
1538,142000000
1539,45000000
1540,20575914
1541,43000000
1542,28886460
1543,149258558
1544,7425270
1545,125000000
1546,24290000
1547,13500000
1548,34233920
1549,21586085
1550,39641613
1551,36785710
1552,22100000
1553,210000000
1554,26075000
1555,8250000
1556,16950000
1557,57000000
1558,6832024
1559,38900000
1560,10118978
1561,140000000
1562,76200000
1563,63000000
1564,14900000
1565,9000000
1566,17200000
1567,22499235
1568,8544383
1569,38000000
1570,200000000
1571,67800000
1572,56649789
1573,162054154
1574,18767513
1575,138750000
1576,6800000
1577,185000000
1578,7277739
1579,125000000
1580,21800000
1581,71692438
1582,44000000
1583,62000000
1584,194940000
1585,16500000
1586,7471068
1587,9400000
1588,95000000
1589,56000000
1590,12181200
1591,24000000
1592,17000000
1593,67490000
1594,42064440
1595,8700000
1596,46500000
1597,9565113
1598,136000000
1599,9000000
1600,14629831
1601,28234752
1602,34000000
1603,9215000
1604,13499000
1605,6956451
1606,56000000
1607,68000000
1608,29900000
1609,17438680
1610,35000000
1611,26000000
1612,23000000
1613,6350218
1614,239439200
1615,39144588
1616,14500000
1617,29043181
1618,20119633
1619,21960000
1620,26014450
1621,46236452
1622,49000000
1623,17700000
1624,17182500
1625,11200000
1626,34626390
1627,31000000
1628,13325732
1629,7728286
1630,8287464
1631,29754536
1632,230000000
1633,6493455
1634,15500000
1635,92000000
1636,140000000
1637,31950000
1638,89465815
1639,35400000
1640,197000000
1641,26700000
1642,98000000
1643,53742300
1644,13500000
1645,32068050
1646,110000000
1647,58000000
1648,68504310
1649,48500000
1650,20440000
1651,19500000
1652,10200000
1653,14601211
1654,36260000
1655,21000000
1656,31500000
1657,32000000
1658,24000000
1659,22691340
1660,20490000
1661,5797568
1662,16500000
1663,13900000
1664,27738644
1665,9984431
1666,96850000
1667,37900000
1668,29035311
1669,7563226
1670,15200000
1671,9900000
1672,39372318
1673,114000000
1674,12700000
1675,6107775
1676,12400000
1677,54435763
1678,31000000
1679,30515527
1680,13600000
1681,90642000
1682,147496668
1683,8967197
1684,18900000
1685,16275573
1686,5250000
1687,52182437
1688,17900000
1689,79820000
1690,11078458
1691,114896056
1692,30018191
1693,90446541
1694,6900000
1695,138420000
1696,9997455
1697,55094339
1698,235370000
1699,7891444
1700,24900000
1701,12341000
1702,6515600
1703,29990000
1704,15576900
1705,73578176
1706,9587070
1707,19500000
1708,65000000
1709,22500000
1710,8632449
1711,12204000
1712,16698624
1713,20990000
1714,94992793
1715,18800000
1716,95238000
1717,20495970
1718,69945000
1719,20500000
1720,17815210
1721,13990000
1722,6114211
1723,13099013
1724,38500000
1725,45400000
1726,20339400
1727,32300000
1728,7670656
1729,6755400
1730,28000000
1731,47000000
1732,7613535
1733,202012579
1734,23954676
1735,18900000
1736,13645193
1737,46675000
1738,10300000
1739,321360000
1740,27398499
1741,13700000
1742,15366099
1743,8460359
1744,79986550
1745,8000000
1746,24674120
1747,17858691
1748,5990000
1749,160420000
1750,170000000
1751,277800000
1752,414900000
1753,9332996
1754,21612823
1755,190000000
1756,15300000
1757,10005152
1758,23500000
1759,67918760
1760,102000000
1761,95000000
1762,14999000
1763,21600000
1764,100290960
1765,35000000
1766,75741210
1767,13800000
1768,21000000
1769,123962264
1770,18200000
1771,24599598
1772,60000000
1773,94390000
1774,63391680
1775,137277114
1776,95700000
1777,22500000
1778,35000000
1779,11450000
1780,160000000
1781,30122632
1782,64704000
1783,7167144
1784,61255726
1785,7050296
1786,92360000
1787,7474000
1788,52500000
1789,47603834
1790,87000000
1791,46500000
1792,20818680
1793,8900000
1794,27000000
1795,12500000
1796,46000000
1797,120000000
1798,11900000
1799,106945102
1800,80000000
1801,7132167
1802,19230000
1803,54997550
1804,91550000
1805,36000000
1806,36500000
1807,62607425
1808,119922417
1809,33325847
1810,87000000
1811,10108612
1812,14800000
1813,22500000
1814,9858408
1815,7200000
1816,125000000
1817,75000000
1818,4200000
1819,9500000
1820,65000000
1821,29900000
1822,21200000
1823,23354962
1824,13564850
1825,18400000
1826,17599000
1827,29000000
1828,15599370
1829,24463584
1830,11206500
1831,14679014
1832,14700000
1833,5972113
1834,11750000
1835,19355220
1836,21381578
1837,43800000
1838,8126307
1839,13874404
1840,79463370
1841,6412456
1842,103777000
1843,11290000
1844,7407435
1845,64447342
1846,24504472
1847,10335006
1848,75000000
1849,22900000
1850,19500000
1851,19900000
1852,25123990
1853,49000000
1854,29176228
1855,290000000
1856,12000000
1857,7219130
1858,75000000
1859,69262270
1860,485190000
1861,9950000
1862,34812009
1863,40944700
1864,93988700
1865,12000000
1866,95000000
1867,19503120
1868,15900000
1869,83312500
1870,13599000
1871,54990000
1872,8078935
1873,5880000
1874,14808337
1875,7262402
1876,13578463
1877,6886952
1878,65924706
1879,7215128
1880,165000000
1881,12290000
1882,18140217
1883,13500000
1884,5386605
1885,79820000
1886,7469511
1887,6182125
1888,74027567
1889,7900000
1890,13600000
1891,29850000
1892,12500000
1893,11700000
1894,10950000
1895,11700000
1896,24000000
1897,12150000
1898,115000000
1899,15177679
1900,138000000
1901,55137354
1902,136520000
1903,210056000
1904,30722286
1905,22892724
1906,75999999
1907,18900000
1908,23190000
1909,8960589
1910,24397788
1911,7441904
1912,26628345
1913,10990000
1914,19600000
1915,31289863
1916,18115930
1917,27250000
1918,29900000
1919,7394589
1920,10662310
1921,13400000
1922,24383773
1923,14852311
1924,65200000
1925,29460366
1926,26738605
1927,23824000
1928,13850000
1929,76354480
1930,165420000
1931,147120000
1932,6872280
1933,33790000
1934,25047500
1935,15990000
1936,20990000
1937,17990150
1938,92500000
1939,5701491
1940,47660600
1941,12113575
1942,118300000
1943,57000000
1944,53757472
1945,16845032
1946,17670000
1947,75918250
1948,13999999
1949,11730000
1950,9700000
1951,101000000
1952,253431847
1953,19000000
1954,19500000
1955,21000000
1956,7148074
1957,12083000
1958,15219000
1959,42000000
1960,23000000
1961,9278254
1962,17700000
1963,49000000
1964,58062670
1965,175400000
1966,7039456
1967,16019477
1968,17390000
1969,80000000
1970,19500000
1971,7136780
1972,25642000
1973,16700000
1974,59900000
1975,9511937
1976,99679798
1977,17000000
1978,14528367
1979,180000000
1980,28058677
1981,14612749
1982,6634000
1983,5020500
1984,65000000
1985,6225409
1986,7950834
1987,6609100
1988,7614831
1989,90000000
1990,33762426
1991,15904625
1992,106500000
1993,79000000
1994,230000000
1995,15523613
1996,8599500
1997,14990000
1998,66490000
1999,10500000
2000,10753478
2001,17990000
2002,99000000
2003,17800000
2004,320912575
2005,6900000
2006,19612821
2007,172007728
2008,19460400
2009,290000000
2010,13611600
2011,11950000
2012,10900000
2013,16212200
2014,15900000
2015,16000000
2016,53000000
2017,13250000
2018,120000000
2019,14850000
2020,45403179
2021,6000000
2022,84714335
2023,485190000
2024,7884000
2025,85000000
2026,75000000
2027,58000000
2028,7133080
2029,36962923
2030,18950000
2031,22416264
2032,8686046
2033,7700000
2034,11750000
2035,36000000
2036,193290000
2037,81383352
2038,17427800
2039,78500000
2040,150000000
2041,11300000
2042,199000000
2043,46341099
2044,29485140
2045,13324691
2046,13500000
2047,21990000
2048,29128619
2049,165000000
2050,74540000
2051,110200000
2052,55000000
2053,165000000
2054,37237200
2055,7169794
2056,27000000
2057,13500000
2058,165000000
2059,14899000
2060,149300000
2061,11206500
2062,59519000
2063,23432905
2064,17200000
2065,14000000
2066,90000000
2067,15000000
2068,21941564
2069,13125780
2070,120000000
2071,38000000
2072,49500000
2073,76900000
2074,14200000
2075,38795156
