,Unnamed: 0,price
773,773,94000000
3924,3924,10950000
688,688,44000000
4161,4161,17350000
3191,3191,60000000
4632,4632,4600000
533,533,19755994
4070,4070,15177380
3752,3752,101869488
733,733,15500000
2914,2914,16500000
4797,4797,8474481
2220,2220,63627700
2896,2896,32610600
2995,2995,12499000
3819,3819,7645297
4401,4401,114911021
2734,2734,68504310
1086,1086,11800000
1914,1914,19600000
1875,1875,7262402
1523,1523,47592976
3417,3417,14800000
4437,4437,7696982
74,74,10899637
2221,2221,25184168
387,387,8150568
1122,1122,46000000
4448,4448,72843360
30,30,12950000
1733,1733,202012579
2714,2714,16232418
3936,3936,55209558
3450,3450,39000000
4769,4769,94392000
671,671,69000000
1905,1905,22892724
3604,3604,23600000
3972,3972,9215000
1402,1402,70480640
3443,3443,41500000
4707,4707,46000000
780,780,8968750
4484,4484,6703200
2743,2743,19789000
551,551,12500000
3227,3227,9800000
3382,3382,126110000
2736,2736,8590000
2661,2661,31950000
1839,1839,13874404
4858,4858,75000000
3120,3120,39000000
1051,1051,21870420
1138,1138,27429037
3883,3883,85000000
2880,2880,20789040
3303,3303,83000000
4369,4369,6067947
4233,4233,17000000
1178,1178,12005280
737,737,40548808
2959,2959,104500000
3056,3056,14042883
2821,2821,6548400
888,888,10150000
1952,1952,253431847
803,803,46910472
4228,4228,31500000
140,140,8977500
385,385,118214224
1446,1446,16300000
399,399,235000000
4023,4023,11088400
1993,1993,79000000
858,858,35242500
2027,2027,58000000
1152,1152,21289999
4171,4171,30000000
4657,4657,41859200
3781,3781,98069364
4061,4061,13499000
3566,3566,7840000
1775,1775,137277114
293,293,20268062
2009,2009,290000000
3881,3881,27990000
763,763,6175064
2184,2184,14999000
4404,4404,147298952
4772,4772,10929176
1006,1006,35654210
2944,2944,36176520
4105,4105,20367033
4628,4628,6931725
1765,1765,35000000
3011,3011,13990000
4743,4743,8500000
1832,1832,14700000
417,417,48000000
4142,4142,204169561
1287,1287,52900000
3149,3149,17000000
3383,3383,14050000
95,95,88000000
4768,4768,85645820
4816,4816,25870000
2612,2612,12500000
2176,2176,23687461
3213,3213,24450000
3499,3499,33000000
3324,3324,10620000
1309,1309,15094293
3378,3378,11500000
3981,3981,167000000
4725,4725,55500800
3083,3083,7361640
1356,1356,9215000
1099,1099,5911217
8,8,9900000
4483,4483,13705200
1468,1468,8892000
3254,3254,198000000
565,565,8564158
1319,1319,59500000
4147,4147,17500000
3181,3181,6700000
1590,1590,12181200
2339,2339,14900000
4286,4286,6573172
3049,3049,49933800
789,789,63000000
4576,4576,14400000
1042,1042,30813600
4368,4368,12500000
4814,4814,14800000
4736,4736,57000000
757,757,12630000
4664,4664,120000000
2715,2715,140000000
2673,2673,6924833
3999,3999,28300000
1165,1165,63000000
2930,2930,506460000
1251,1251,90000000
1360,1360,10800000
2191,2191,29999999
2441,2441,70000000
1228,1228,84500000
3109,3109,19654880
4176,4176,99500000
754,754,28900000
2151,2151,61977536
4682,4682,107878970
330,330,5500000
241,241,111998000
1197,1197,8060000
4007,4007,125000000
490,490,21900000
1662,1662,16500000
2999,2999,189000000
1369,1369,24934142
3498,3498,135000000
991,991,34516597
2077,2077,35519841
2069,2069,13125780
2207,2207,52810300
3282,3282,26800000
591,591,9250000
1107,1107,10202659
4650,4650,105000000
2509,2509,18753288
2347,2347,17599000
3108,3108,8320070
1768,1768,21000000
972,972,122108738
472,472,56000000
220,220,69000000
572,572,22800000
631,631,7806659
3766,3766,162520646
4099,4099,182240000
3979,3979,19000000
3611,3611,57000000
238,238,246547171
3008,3008,9600000
2781,2781,19250000
1150,1150,31374835
1035,1035,16679295
4551,4551,73819072
1611,1611,26000000
593,593,16047986
4839,4839,14400000
1103,1103,22880000
3511,3511,43550000
1547,1547,13500000
1863,1863,40944700
3818,3818,10700000
958,958,33753258
56,56,10197000
2097,2097,21500000
4573,4573,6274562
1942,1942,118300000
1339,1339,7916300
4456,4456,6510402
1820,1820,65000000
459,459,75822560
4358,4358,45417456
3836,3836,8765032
1227,1227,80000000
913,913,24900000
3067,3067,429420000
801,801,80000000
4231,4231,13072251
4215,4215,60000000
3285,3285,106040000
4433,4433,15701069
3431,3431,10000000
4191,4191,6924833
1172,1172,11400000
3454,3454,217620480
1836,1836,21381578
11,11,150000000
4375,4375,9000000
2490,2490,7523620
2920,2920,10599000
1870,1870,13599000
2923,2923,9830711
3955,3955,11000000
1791,1791,46500000
2082,2082,23700000
1614,1614,239439200
3225,3225,12375999
605,605,23250000
4780,4780,64000000
3040,3040,12950000
1569,1569,38000000
2247,2247,56000000
2216,2216,7238174
115,115,35000000
746,746,97850000
3893,3893,161000000
235,235,11499999
453,453,136520000
560,560,98069364
1338,1338,70000000
4837,4837,50382223
4763,4763,33462250
2,2,136893510
2549,2549,12062397
2872,2872,122657078
2682,2682,27100000
242,242,44212680
2782,2782,15771482
1102,1102,9300000
1539,1539,45000000
1687,1687,52182437
2402,2402,30684658
3297,3297,20254562
3727,3727,89000000
461,461,46829769
4522,4522,22000000
375,375,215000000
33,33,8431662
1196,1196,29997306
840,840,16000000
4600,4600,145081761
4766,4766,15500000
1887,1887,6182125
3420,3420,28479420
2838,2838,21824030
2376,2376,52500000
2327,2327,16590000
3966,3966,6250000
1327,1327,45159446
3442,3442,35700000
3940,3940,44319340
2554,2554,14502068
100,100,22500000
2986,2986,128250000
1262,1262,97729363
2248,2248,13900000
480,480,16900000
1897,1897,12150000
1288,1288,22000000
4289,4289,49781944
3105,3105,21997000
2669,2669,7807091
3567,3567,21800000
47,47,71826959
3239,3239,7275600
2075,2075,38795156
4685,4685,170000000
1669,1669,7563226
1871,1871,54990000
3325,3325,47580000
3857,3857,13150000
4129,4129,7823460
3731,3731,120000000
103,103,12500000
2205,2205,120000000
1147,1147,8000000
2385,2385,98070000
383,383,7774550
3591,3591,29000000
2468,2468,19136000
2952,2952,12399000
1770,1770,18200000
541,541,114000000
405,405,32000000
3400,3400,15060297
2251,2251,19500000
4722,4722,15308035
2499,2499,7703623
2650,2650,83000000
941,941,7092317
3341,3341,20617600
2945,2945,14550000
659,659,7410073
4802,4802,29206523
2934,2934,34546600
1256,1256,7598344
685,685,22141202
3593,3593,13346422
1091,1091,13759354
4207,4207,61000000
2521,2521,7781614
377,377,79500000
2632,2632,88000000
1528,1528,40940000
363,363,20348929
4862,4862,10300000
354,354,11642400
4787,4787,8900000
1553,1553,210000000
2295,2295,12000000
1372,1372,116000000
762,762,18335648
382,382,59000000
